Rank,Journal Title,ISSN,Total Cites,IF,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
6761,PATHOLOGY,0031-3025,2155,2.657,2.652,0.775,80,5.8,0.00539,0.768
6762,PATHOPHYSIOL HAEMO T,1424-8832,543,,,,,8.8,0.0007,
6763,PATIENT,1178-1653,137,1.565,1.276,0.478,23,2.7,0.00061,0.355
6764,PATIENT EDUC COUNS,0738-3991,7150,2.372,2.933,0.545,244,5.9,0.01942,0.92
6765,PATIENT PREFER ADHER,1177-889X,307,1.333,,0.209,91,2.7,0.00148,
6766,PATTERN ANAL APPL,1433-7541,411,0.814,0.944,0.061,33,7.4,0.00114,0.406
6767,PATTERN RECOGN,0031-3203,13229,2.632,3.219,0.453,364,7.3,0.03232,1.221
6768,PATTERN RECOGN LETT,0167-8655,5346,1.266,1.529,0.109,266,7,0.01344,0.639
6769,PCI J,0887-9672,381,0.26,0.265,0.136,22,>10.0,0.00052,0.192
6770,PEDIAT ALLER IMM PUL,2151-321X,51,0.556,0.556,0.485,33,,0.00024,0.214
6771,PEDIAT ALLERG IMM-UK,0905-6157,3045,3.376,2.957,1.211,109,4.6,0.00775,0.736
6772,PEDIATR ANESTH,1155-5645,3380,2.436,2.221,0.647,170,5.6,0.00692,0.517
6773,PEDIATR ANN,0090-4481,471,0.303,0.402,0.061,82,8.4,0.00086,0.13
6774,PEDIATR BLOOD CANCER,1545-5009,5772,2.353,2.347,0.504,387,4.1,0.02579,0.779
6775,PEDIATR CARDIOL,0172-0643,2438,1.197,1.263,0.3,217,6.4,0.00674,0.437
6776,PEDIATR CLIN N AM,0031-3955,2304,1.782,2.058,0.275,80,9.3,0.00443,0.671
6777,PEDIATR CRIT CARE ME,1529-7535,2824,2.354,2.659,1.093,162,4.8,0.00842,0.83
6778,PEDIATR DENT,0164-1263,1351,0.563,0.945,0.109,46,9.9,0.00187,0.309
6779,PEDIATR DERMATOL,0736-8046,2592,1.041,1.127,0.294,187,7.7,0.00538,0.347
6780,PEDIATR DEVEL PATHOL,1093-5266,1123,0.859,1.008,0.112,89,8.2,0.0021,0.33
6781,PEDIATR DIABETES,1399-543X,1636,2.077,2.564,0.413,104,4.1,0.00691,0.827
6782,PEDIATR DRUGS,1174-5878,770,1.884,1.874,0.389,36,6.4,0.00187,0.558
6783,PEDIATR EMERG CARE,0749-5161,2246,0.891,1.064,0.065,293,6.4,0.00565,0.326
6784,PEDIATR EXERC SCI,0899-8493,1166,1.574,2.134,0.109,46,9,0.00219,0.621
6785,PEDIATR HEMAT ONCOL,0888-0018,962,0.895,0.907,0.15,80,7.9,0.00183,0.276
6786,PEDIATR INFECT DIS J,0891-3668,11429,3.569,3.486,0.644,334,6.9,0.02881,1.176
6787,PEDIATR INT,1328-8067,1874,0.875,0.921,0.139,202,5.9,0.00484,0.272
6788,PEDIATR NEONATOL,1875-9572,272,0.932,,0.359,64,2.9,0.00125,
6789,PEDIATR NEPHROL,0931-041X,6856,2.939,2.503,0.565,239,6.1,0.0164,0.717
6790,PEDIATR NEUROL,0887-8994,3729,1.416,1.671,0.323,167,7.2,0.00866,0.555
6791,PEDIATR NEUROSURG,1016-2291,1957,0.423,0.877,0.045,22,>10.0,0.00195,0.269
6792,PEDIATR OBES,2047-6310,30,,,0.484,62,,0,
6793,PEDIATR PHYS THER,0898-5669,509,1.083,,0.419,43,5.9,0.00109,
6794,PEDIATR PULM,8755-6863,5146,2.375,2.178,0.566,159,7.4,0.01155,0.725
6795,PEDIATR RADIOL,0301-0449,4673,1.565,1.625,0.238,214,7.1,0.01016,0.494
6796,PEDIATR RES,0031-3998,11225,2.673,2.9,0.63,192,9,0.01921,0.945
6797,PEDIATR REV,0191-9601,620,0.823,0.805,,,8.8,0.00133,0.279
6798,PEDIATR RHEUMATOL,1546-0096,185,1.469,,0.057,35,2.9,0.00098,
6799,PEDIATR SURG INT,0179-0358,3009,1.216,1.262,0.149,208,6.5,0.00727,0.382
6800,PEDIATR TRANSPLANT,1397-3142,2115,1.5,1.462,0.337,193,5.4,0.00573,0.425
6801,PEDIATRICS,0031-4005,59035,5.119,5.93,0.951,687,7.5,0.12895,2.077
6802,PEDOBIOLOGIA,0031-4056,1804,1.69,2.204,0.227,44,9.7,0.00247,0.7
6803,PEDOSPHERE,1002-0160,1142,1.232,1.66,0.081,86,5.2,0.00355,0.45
6804,PEER PEER NETW APPL,1936-6442,56,0.365,0.591,0.138,29,,0.00034,0.222
6805,PELVI-PERINEOLOGIE,1778-3712,11,0.038,0.043,,0,,0.00003,0.008
6806,PEPTIDES,0196-9781,9324,2.522,2.471,0.438,304,6.7,0.01673,0.601
6807,PERCEPTION,0301-0066,4378,1.311,1.465,0.116,112,>10.0,0.0079,0.626
6808,PERFORM EVALUATION,0166-5316,986,0.841,1.093,0.132,38,7.6,0.00323,0.57
6809,PERFUSION-UK,0267-6591,696,0.94,0.953,0.455,77,6.7,0.00144,0.276
6810,PERIOD BIOL,0031-5362,210,0.199,0.201,0.019,54,8.3,0.00028,0.053
6811,PERIOD MATH HUNG,0031-5303,288,0.261,0.331,0.086,35,>10.0,0.00049,0.213
6812,PERIOD MINERAL,0369-8963,262,0.776,0.765,0.13,23,8.6,0.00063,0.3
6813,PERIOD POLYTECH-CHEM,0324-5853,19,0.217,,0,12,,0.00004,
6814,PERIOD POLYTECH-CIV,0553-6626,28,0.233,0.293,0,14,,0.00009,0.065
6815,PERIODONTOL 2000,0906-6713,2648,4.012,4.344,1.806,36,8.3,0.00416,1.237
6816,PERITON DIALYSIS INT,0896-8608,2822,2.214,1.927,0.494,79,7.4,0.00479,0.464
6817,PERMAFROST PERIGLAC,1045-6740,1435,3.049,3.452,0.375,32,8.3,0.00305,1.191
6818,PERS MED,1741-0541,319,1.51,1.115,0.614,57,2.7,0.00133,0.335
6819,PERS UBIQUIT COMPUT,1617-4909,702,1.133,1.169,0.171,76,6.1,0.00195,0.392
6820,PERSOONIA,0031-5850,517,3.486,3.921,0.636,22,3.9,0.00186,1.194
6821,PERSPECT BIOL MED,0031-5982,771,0.865,1.091,0.143,35,9.4,0.00135,0.39
6822,PERSPECT PLANT ECOL,1433-8319,1293,4.158,5.965,0.41,39,5.4,0.00429,2.127
6823,PERSPECT PSYCHIATR C,0031-5990,293,1.038,1.242,0.143,28,5.3,0.00081,0.371
6824,PERVASIVE MOB COMPUT,1574-1192,427,1.629,,0.164,55,3.6,0.00182,
6825,PESQUI AGROPECU BRAS,0100-204X,3338,0.661,0.963,0.2,225,8.1,0.00516,0.257
6826,PESQUISA VET BRASIL,0100-736X,817,0.538,0.675,0.069,248,4.8,0.00133,0.105
6827,PEST MANAG SCI,1526-498X,4883,2.594,2.771,0.517,209,5.7,0.0126,0.808
6828,PESTIC BIOCHEM PHYS,0048-3575,2849,2.111,2.262,0.287,108,7.2,0.00467,0.517
6829,PETROL CHEM+,0965-5441,358,0.451,0.373,0.03,99,7,0.00065,0.094
6830,PETROL GEOSCI,1354-0793,512,1.5,1.25,0.206,34,8.4,0.00153,0.621
6831,PETROL SCI,1672-5107,177,0.534,0.464,0.029,69,3.4,0.00059,0.106
6832,PETROL SCI TECHNOL,1091-6466,650,0.3,0.358,0.062,242,5.7,0.00176,0.111
6833,PETROLOGY+,0869-5911,536,0.986,0.961,0.125,40,8.6,0.00144,0.463
6834,PETROPHYSICS,1529-9074,111,0.4,0.409,0.25,4,6.8,0.00067,0.349
6835,PFERDEHEILKUNDE,0177-7726,315,0.208,0.236,0.111,63,9.6,0.0002,0.035
6836,PFLEGE,1012-5302,102,0.46,,0.111,27,5.4,0.00017,
6837,PFLUG ARCH EUR J PHY,0031-6768,9307,4.866,3.928,0.853,129,8.5,0.02008,1.328
6838,PHARM BIOL,1388-0209,1763,1.206,1.06,0.211,185,5.8,0.00293,0.204
6839,PHARM CHEM J+,0091-150X,1200,0.32,,0.037,162,>10.0,0.00108,
6840,PHARM DEV TECHNOL,1083-7450,934,1.333,1.185,0.165,85,7.1,0.00154,0.267
6841,PHARM IND,0031-711X,196,0.194,0.201,0.049,61,>10.0,0.00012,0.025
6842,PHARM RES-DORDR,0724-8741,19035,4.742,5.046,0.735,279,8.7,0.02859,1.299
6843,PHARM STAT,1539-1604,357,0.99,1.333,0.086,70,4.6,0.00236,0.772
6844,PHARM WORLD SCI,0928-1231,1065,1.265,1.429,,0,6.6,0.00169,0.286
6845,PHARMACOECONOMICS,1170-7690,3268,2.861,3.543,0.8,75,7,0.00752,1.165
6846,PHARMACOEPIDEM DR S,1053-8569,3792,2.897,2.911,1.303,211,4.7,0.01418,1.064
6847,PHARMACOGENET GENOM,1744-6872,2996,3.608,3.855,0.753,93,4.5,0.00956,1.011
6848,PHARMACOGENOMICS,1462-2416,3332,3.857,3.793,0.968,126,4.2,0.01133,0.997
6849,PHARMACOGENOMICS J,1470-269X,2084,5.134,4.455,1.123,65,5.2,0.006,1.351
6850,PHARMACOGN MAG,0973-1296,318,1.525,,0.135,52,2.8,0.0007,
6851,PHARMACOL BIOCHEM BE,0091-3057,12961,2.608,2.848,0.504,272,>10.0,0.01616,0.777
6852,PHARMACOL REP,1734-1140,1995,1.965,2.223,0.235,102,4,0.00563,0.493
6853,PHARMACOL RES,1043-6618,5791,4.346,4.408,0.735,136,5.9,0.0132,1.172
6854,PHARMACOL REV,0031-6997,10331,22.345,22.114,2.333,36,>10.0,0.01496,8.122
6855,PHARMACOL THERAPEUT,0163-7258,10655,7.793,8.736,1.343,108,6.6,0.02426,2.729
6856,PHARMACOLOGY,0031-7012,2038,1.603,1.733,0.523,88,9.1,0.00341,0.463
6857,PHARMACOPSYCHIATRY,0176-3679,1769,2.109,2.124,0.295,61,8.4,0.00303,0.579
6858,PHARMACOTHERAPY,0277-0008,4533,2.311,2.348,0.437,126,7,0.01019,0.741
6859,PHARMAZIE,0031-7144,2993,0.962,0.982,0.228,180,>10.0,0.00318,0.205
6860,PHASE TRANSIT,0141-1594,1117,0.863,0.818,0.35,103,7.3,0.0026,0.324
6861,PHIL MAG LETT,0950-0839,1576,1.156,1.173,0.163,86,8.3,0.00459,0.558
6862,PHILIPP AGRIC SCI,0031-7454,145,0.315,0.295,0.053,38,7.1,0.00026,0.072
6863,PHILIPP J CROP SCI,0115-463X,55,0.152,0.175,0.037,27,,0.00006,0.026
6864,PHILIPP J VET MED,0031-7705,30,0.059,0.106,0,15,,0.00001,0.008
6865,PHILOS MAG,1478-6435,9126,1.596,1.454,0.373,268,>10.0,0.01848,0.703
6866,PHILOS MATH,0031-8019,122,0.333,,0,15,8.4,0.00068,
6867,PHILOS SCI,0031-8248,1593,0.649,0.784,0.213,61,>10.0,0.00214,0.351
6868,PHILOS T R SOC A,1364-503X,11509,2.891,3.108,1.576,295,8.2,0.03516,1.476
6869,PHILOS T R SOC B,0962-8436,26581,6.23,7.298,3.522,289,7.3,0.07786,3.092
6870,PHLEBOLOGIE,0939-978X,177,0.456,0.388,0.222,27,8,0.00023,0.079
6871,PHLEBOLOGY,0268-3555,598,1.458,1.705,0.312,64,4.2,0.00188,0.452
6872,PHONETICA,0031-8388,570,0.696,1.414,0,9,>10.0,0.00092,0.902
6873,PHOSPHORUS SULFUR,1042-6507,2736,0.601,0.661,0.191,162,8,0.00309,0.116
6874,PHOTOCH PHOTOBIO SCI,1474-905X,4541,2.923,2.81,0.538,208,5,0.0133,0.806
6875,PHOTOCHEM PHOTOBIOL,0031-8655,9625,2.287,2.529,0.761,184,>10.0,0.01157,0.695
6876,PHOTODERMATOL PHOTO,0905-4383,1197,1.516,1.569,0.161,62,7.6,0.00247,0.475
6877,PHOTODIAGN PHOTODYN,1572-1000,624,2.243,2.263,0.216,51,4.4,0.00134,0.448
6878,PHOTOGRAMM ENG REM S,0099-1112,5028,1.802,2.042,0.195,87,>10.0,0.00496,0.592
6879,PHOTOGRAMM FERNERKUN,1432-8364,89,0.741,,0.13,46,,0.00031,
6880,PHOTOGRAMM REC,0031-868X,369,1.44,1.243,0.25,28,7.1,0.00064,0.343
6881,PHOTOMED LASER SURG,1549-5418,1580,1.634,1.88,0.155,97,4.6,0.00352,0.364
6882,PHOTONIC NANOSTRUCT,1569-4410,487,1.792,1.881,0.388,85,3.9,0.00204,0.627
6883,PHOTONIC NETW COMMUN,1387-974X,246,0.448,0.43,0.056,54,5.2,0.00077,0.142
6884,PHOTONIC SPECTRA,0731-1230,124,0.075,0.078,0.062,65,6.9,0.00028,0.027
6885,PHOTOSYNTH RES,0166-8595,5293,3.15,3.57,0.523,88,8.8,0.00935,1.097
6886,PHOTOSYNTHETICA,0300-3604,1856,0.862,1.219,0.087,69,9.4,0.00214,0.284
6887,PHYCOL RES,1322-0829,583,1.086,1.374,0.129,31,7.4,0.00109,0.363
6888,PHYCOLOGIA,0031-8884,2282,1.647,1.843,0.288,59,>10.0,0.00232,0.506
6889,PHYS ATOM NUCL+,1063-7788,1486,0.539,0.514,0.127,221,7.3,0.00368,0.181
6890,PHYS BIOL,1478-3967,1464,2.62,2.987,1.013,80,4.1,0.00742,1.365
6891,PHYS CHEM CHEM PHYS,1463-9076,40969,3.829,3.976,1.052,1804,3.7,0.15067,1.296
6892,PHYS CHEM EARTH,1474-7065,2463,1.037,1.33,0.217,115,6.8,0.00681,0.507
6893,PHYS CHEM GLASSES-B,1753-3562,1330,0.764,0.644,0.077,39,>10.0,0.00132,0.28
6894,PHYS CHEM LIQ,0031-9104,546,0.813,0.631,0.232,69,7.1,0.00086,0.146
6895,PHYS CHEM MINER,0342-1791,2852,1.304,1.447,0.432,81,>10.0,0.00366,0.635
6896,PHYS EARTH PLANET IN,0031-9201,6201,2.383,2.498,0.479,94,>10.0,0.01727,1.409
6897,PHYS ESSAYS,0836-1398,146,0.356,,0.16,75,3.2,0.00003,
6898,PHYS FLUIDS,1070-6631,20567,1.942,1.987,0.319,499,>10.0,0.04132,0.953
6899,PHYS GEOGR,0272-3646,613,0.947,1.067,0.143,28,>10.0,0.00101,0.387
6900,PHYS LETT A,0375-9601,25665,1.766,1.831,0.436,677,8.7,0.05291,0.621
6901,PHYS LETT B,0370-2693,61287,4.569,3.677,3.708,869,>10.0,0.11784,1.501
6902,PHYS LIFE REV,1571-0645,659,6.583,6.69,9.455,11,3.5,0.00246,2.415
6903,PHYS MED BIOL,0031-9155,17652,2.701,2.92,0.447,550,6.8,0.03831,0.841
6904,PHYS MED REH CLIN N,1047-9651,763,1.482,,0.241,54,6.2,0.00184,
6905,PHYS MED REHAB KUROR,0940-6689,108,0.262,0.262,0.171,35,6.7,0.0001,0.032
6906,PHYS MEDICA,1120-1797,323,1.167,1.474,0.372,43,4.7,0.00134,0.573
6907,PHYS MET METALLOGR+,0031-918X,1421,0.573,0.508,0.117,145,>10.0,0.00235,0.178
6908,PHYS OCCUP THER PEDI,0194-2638,406,1.235,,0.143,28,6,0.00098,
6909,PHYS PART NUCLEI+,1063-7796,474,0.672,0.662,0.114,70,7.9,0.00143,0.3
6910,PHYS PERSPECT,1422-6944,49,0.394,0.418,0,15,,0.00019,0.162
6911,PHYS PLASMAS,1070-664X,21440,2.376,2.215,0.619,1127,6.3,0.05956,0.781
6912,PHYS REP,0370-1573,20765,22.929,22.99,6.698,43,>10.0,0.04239,11.734
6913,PHYS REV A,1050-2947,95193,3.042,2.766,0.875,2759,8.2,0.24111,1.068
6914,PHYS REV B,1098-0121,303092,3.767,3.603,0.953,5649,8.8,0.73793,1.432
6915,PHYS REV C,0556-2813,39525,3.715,3.341,1.06,1117,6.9,0.08163,0.934
6916,PHYS REV D,1550-7998,134999,4.691,4.17,1.834,3317,6.5,0.29773,1.224
6917,PHYS REV E,1539-3755,74169,2.313,2.307,0.569,2451,7.6,0.18692,0.896
6918,PHYS REV LETT,0031-9007,362185,7.943,7.435,2.176,3789,8.1,1.09141,3.614
6919,PHYS REV SPEC TOP-AC,1098-4402,1917,1.565,1.536,0.343,181,4.4,0.00966,0.714
6920,PHYS REV SPEC TOP-PH,1554-9178,371,1.529,2.132,0.318,44,3.9,0.00116,0.515
6921,PHYS REV X,2160-3308,414,6.711,6.737,2.225,71,1.2,0.00333,5.001
6922,PHYS SCRIPTA,0031-8949,6780,1.032,1.024,0.323,672,7.9,0.01657,0.372
6923,PHYS SOLID STATE+,1063-7834,4877,0.769,0.689,0.221,403,>10.0,0.00737,0.211
6924,PHYS STATUS SOLIDI A,1862-6300,9404,1.469,1.332,0.25,420,8.4,0.02103,0.476
6925,PHYS STATUS SOLIDI B,0370-1972,8688,1.489,1.306,0.297,387,8.2,0.02216,0.516
6926,PHYS STATUS SOLIDI-R,1862-6254,1437,2.388,2.432,0.527,148,3,0.00856,0.875
6927,PHYS THER,0031-9023,7611,2.778,3.36,0.586,116,>10.0,0.01131,1.014
6928,PHYS THER SPORT,1466-853X,333,1.367,1.294,0.025,40,6.3,0.00087,0.418
6929,PHYS TODAY,0031-9228,3738,6.762,5.263,1.514,37,9.9,0.01146,3.069
6930,PHYS WAVE PHENOM,1541-308X,50,0.185,,0.088,34,,0.00023,
6931,PHYS WORLD,0953-8585,357,0.452,0.416,0.119,42,>10.0,0.00099,0.23
6932,PHYS-USP+,1063-7869,4849,1.865,2.289,0.342,76,>10.0,0.0085,1.101
6933,PHYSICA A,0378-4371,15376,1.676,1.651,0.51,674,7.7,0.0279,0.475
6934,PHYSICA B,0921-4526,13619,1.327,1.135,0.219,958,6.8,0.03123,0.352
6935,PHYSICA C,0921-4534,6950,0.718,0.704,0.206,247,9.2,0.01588,0.272
6936,PHYSICA D,0167-2789,9816,1.669,1.777,0.577,194,>10.0,0.01672,0.933
6937,PHYSICA E,1386-9477,5380,1.522,1.39,0.396,318,4.6,0.01738,0.421
6938,PHYSICIAN SPORTSMED,0091-3847,654,1.344,,0.083,12,>10.0,0.00147,
6939,PHYSICOCHEM PROBL MI,1643-1049,178,0.58,0.582,0.228,57,5.3,0.00041,0.147
6940,PHYSIOL BEHAV,0031-9384,17003,3.16,3.339,0.531,354,>10.0,0.02638,0.992
6941,PHYSIOL BIOCHEM ZOOL,1522-2152,2339,2.456,2.444,0.547,64,6.9,0.00513,0.806
6942,PHYSIOL ENTOMOL,0307-6962,1651,1.417,1.46,0.234,47,>10.0,0.00218,0.476
6943,PHYSIOL GENOMICS,1094-8341,4514,2.806,3.478,0.523,107,6,0.01245,1.105
6944,PHYSIOL MEAS,0967-3334,2969,1.496,1.822,0.297,155,6.4,0.00628,0.494
6945,PHYSIOL MOL PLANT P,0885-5765,2127,1.506,1.949,0.389,36,>10.0,0.00178,0.521
6946,PHYSIOL PLANTARUM,0031-9317,12422,3.656,3.473,0.811,127,>10.0,0.01235,0.992
6947,PHYSIOL RES,0862-8408,2310,1.531,1.642,0.106,104,6,0.00484,0.395
6948,PHYSIOL REV,0031-9333,22537,30.174,38.707,2.538,39,9.5,0.04614,15.122
6949,PHYSIOLOGY,1548-9213,2500,6.75,8.388,1.138,29,5.3,0.00979,3.285
6950,PHYSIOTHER CAN,0300-0508,423,0.518,,0.316,38,>10.0,0.00048,
6951,PHYSIOTHERAPY,0031-9406,1034,1.57,1.49,0.188,48,>10.0,0.00143,0.41
6952,PHYTOCHEM ANALYSIS,0958-0344,1895,2.48,2.28,0.292,96,7.2,0.00315,0.523
6953,PHYTOCHEM LETT,1874-3900,385,1.179,1.353,0.223,175,2.5,0.00141,0.316
6954,PHYTOCHEM REV,1568-7767,1307,4.147,,1,7,4.7,0.00414,
6955,PHYTOCHEMISTRY,0031-9422,29873,3.05,3.575,0.559,245,>10.0,0.02428,0.964
6956,PHYTOCOENOLOGIA,0340-269X,418,1,1.034,0.056,18,9.2,0.00038,0.246
6957,PHYTOMEDICINE,0944-7113,5244,2.972,3.258,0.401,187,5.6,0.00982,0.662
6958,PHYTON-ANN REI BOT A,0079-2047,303,0.435,0.5,0,18,>10.0,0.00025,0.137
6959,PHYTON-INT J EXP BOT,1851-5657,126,0.177,0.234,,,>10.0,0.00014,0.064
6960,PHYTOPARASITICA,0334-2123,867,0.724,0.767,0.145,62,10,0.00113,0.225
6961,PHYTOPATHOL MEDITERR,0031-9465,640,0.791,0.873,0.13,54,10,0.00119,0.306
6962,PHYTOPATHOLOGY,0031-949X,13365,2.968,3.087,0.624,125,>10.0,0.01345,0.935
6963,PHYTOPROTECTION,0031-9511,124,0.25,0.234,,,>10.0,0.00006,0.067
6964,PHYTOTAXA,1179-3155,246,1.295,1.245,0.275,167,1.6,0.00113,0.404
6965,PHYTOTHER RES,0951-418X,8059,2.068,2.438,0.444,302,6.6,0.01246,0.486
6966,PIGM CELL MELANOMA R,1755-1471,3385,5.839,5.434,1.397,68,6.2,0.01003,2
6967,PIGM RESIN TECHNOL,0369-9420,299,0.616,0.694,0.077,39,6.5,0.00036,0.115
6968,PITUITARY,1386-341X,1112,2.667,2.255,0.395,81,4.9,0.00267,0.561
6969,PLACENTA,0143-4004,6187,3.117,3.179,0.551,178,6.3,0.01304,0.837
6970,PLANET SPACE SCI,0032-0633,6073,2.109,2.245,0.739,283,8.5,0.01777,1.027
6971,PLANT BIOLOGY,1435-8603,2846,2.32,2.525,0.569,123,6.1,0.00707,0.763
6972,PLANT BIOSYST,1126-3504,1063,1.912,1.734,0.441,143,3.3,0.00229,0.297
6973,PLANT BIOTECHNOL J,1467-7644,3136,6.279,5.813,1.04,101,4,0.01016,1.5
6974,PLANT BIOTECHNOL REP,1863-5466,229,1.051,1.246,0.15,40,3.5,0.00089,0.282
6975,PLANT BIOTECHNOL-NAR,1342-4580,654,0.935,,0.225,71,5.1,0.00145,
6976,PLANT BREEDING,0179-9541,2696,1.175,1.478,0.171,117,8.6,0.00409,0.404
6977,PLANT CELL,1040-4651,39067,9.251,10.125,1.526,325,8,0.08891,3.8
6978,PLANT CELL ENVIRON,0140-7791,14009,5.135,5.861,1.639,158,8.4,0.02458,1.815
6979,PLANT CELL PHYSIOL,0032-0781,10979,4.134,4.3,1.065,186,7.9,0.02146,1.348
6980,PLANT CELL REP,0721-7714,6445,2.509,2.826,0.471,191,7.4,0.01006,0.64
6981,PLANT CELL TISS ORG,0167-6857,5049,3.633,2.73,0.597,196,6.6,0.0046,0.317
6982,PLANT DIS,0191-2917,10773,2.455,2.722,0.663,208,>10.0,0.01269,0.731
6983,PLANT ECOL,1385-0237,4668,1.534,1.866,0.274,168,8.3,0.00888,0.618
6984,PLANT ECOL DIVERS,1755-0874,224,0.924,1.675,0.36,50,3.7,0.00123,0.568
6985,PLANT ECOL EVOL,2032-3913,91,1.192,1.192,0.079,38,,0.00038,0.297
6986,PLANT FOOD HUM NUTR,0921-9668,1569,2.358,2.762,0.25,64,8.1,0.00227,0.561
6987,PLANT GENET RESOUR-C,1479-2621,273,0.728,,0.118,34,4.7,0.00082,
6988,PLANT GENOME-US,1940-3372,276,2.463,3.64,0.2,15,3.4,0.00151,1.151
6989,PLANT GROWTH REGUL,0167-6903,2983,1.67,1.957,0.148,115,9.2,0.00373,0.458
6990,PLANT J,0960-7412,32497,6.582,7.113,1.533,345,7.4,0.07643,2.478
6991,PLANT METHODS,1746-4811,697,2.667,3.935,0.26,50,4.3,0.00305,1.259
6992,PLANT MOL BIOL,0167-4412,13482,3.518,4.398,0.752,133,>10.0,0.01691,1.284
6993,PLANT MOL BIOL REP,0735-9640,2985,5.319,4.02,0.293,157,9.1,0.00176,0.337
6994,PLANT OMICS,1836-0661,61,0.347,0.426,0.068,88,,0.00025,0.111
6995,PLANT PATHOL,0032-0862,4386,2.729,2.64,0.605,114,8.3,0.00795,0.801
6996,PLANT PATHOLOGY J,1598-2254,380,0.667,0.668,0.093,54,5.4,0.00092,0.169
6997,PLANT PHYSIOL,0032-0889,62407,6.555,7.084,1.313,469,9.5,0.10036,2.272
6998,PLANT PHYSIOL BIOCH,0981-9428,4894,2.775,2.976,0.313,243,7,0.00899,0.735
6999,PLANT PROD SCI,1343-943X,563,0.802,0.916,0.048,42,6.5,0.00118,0.236
7000,PLANT SCI,0168-9452,9736,2.922,2.997,0.519,206,8.7,0.01205,0.778
7001,PLANT SOIL,0032-079X,19896,2.638,3.108,0.464,349,>10.0,0.02787,0.943
7002,PLANT SOIL ENVIRON,1214-1178,789,1.113,1.207,0.146,89,4.8,0.00178,0.262
7003,PLANT SPEC BIOL,0913-557X,460,1.283,0.96,0.625,24,>10.0,0.00058,0.268
7004,PLANT SYST EVOL,0378-2697,3686,1.312,1.586,0.25,176,10,0.00521,0.444
7005,PLANTA,0032-0935,15450,3.347,3.651,0.469,254,>10.0,0.0195,1.001
7006,PLANTA MED,0032-0943,11009,2.348,2.462,0.304,247,>10.0,0.01175,0.526
7007,PLASMA CHEM PLASMA P,0272-4324,1503,1.728,2.231,0.247,85,7.5,0.00319,0.679
7008,PLASMA PHYS CONTR F,0741-3335,6719,2.369,2.2,0.56,241,7.3,0.02234,1.055
7009,PLASMA PHYS REP+,1063-780X,1118,0.664,0.74,0.181,127,7.3,0.0032,0.302
7010,PLASMA PROCESS POLYM,1612-8850,2564,3.73,2.365,0.621,116,4,0.01011,0.681
7011,PLASMA SCI TECHNOL,1009-0630,603,0.514,0.501,0.081,223,4.8,0.00212,0.165
7012,PLASMA SOURCES SCI T,0963-0252,3942,2.515,2.504,0.913,150,6.7,0.01081,0.933
7013,PLASMID,0147-619X,1530,1.276,1.547,0.327,52,>10.0,0.00225,0.524
7014,PLASMONICS,1557-1955,877,2.425,2.988,0.525,101,3,0.00355,0.834
7015,PLAST ENG,0091-9578,121,0.25,0.115,,,>10.0,0.0001,0.03
7016,PLAST RECONSTR SURG,0032-1052,28240,3.535,3.591,0.669,435,10,0.03615,0.904
7017,PLAST RUBBER COMPOS,1465-8011,529,0.631,0.644,0.186,59,7.3,0.00092,0.157
7018,PLATELETS,0953-7104,1748,2.24,2.391,0.538,78,5.3,0.00455,0.637
7019,PLATIN MET REV,0032-1400,735,2.194,2.476,0.579,19,>10.0,0.00108,0.734
7020,PLOS BIOL,1545-7885,22908,12.69,13.447,2.151,152,5.2,0.13481,7.471
7021,PLOS COMPUT BIOL,1553-7358,11758,4.867,5.939,0.824,507,3.6,0.07881,2.709
7022,PLOS GENET,1553-7404,22212,8.517,9.44,1.204,691,3.4,0.17456,4.969
7023,PLOS MED,1549-1676,14820,15.253,16.426,3.235,115,4.6,0.07555,6.971
7024,PLOS NEGLECT TROP D,1935-2735,6012,4.569,4.963,0.776,500,2.5,0.02936,1.48
7025,PLOS ONE,1932-6203,133246,3.73,4.244,0.407,23406,2.4,0.78326,1.548
7026,PLOS PATHOG,1553-7374,19743,8.136,8.917,1.306,627,3.1,0.11989,3.488
7027,PM&R,1934-1482,628,1.372,1.976,0.297,138,2.4,0.00307,0.592
7028,PMM-J APPL MATH MEC+,0021-8928,1196,0.261,0.311,0.056,72,>10.0,0.00171,0.237
7029,POL ARCH MED WEWN,0032-3772,609,1.833,,0.39,82,3.4,0.00148,
7030,POL J CHEM TECHNOL,1509-8117,127,0.444,,0,26,3.7,0.00043,
7031,POL J ECOL,1505-2249,417,0.503,0.616,0.054,74,5.5,0.00112,0.169
7032,POL J ENVIRON STUD,1230-1485,1427,0.462,0.819,0.022,230,6.4,0.00202,0.156
7033,POL J MICROBIOL,1733-1331,278,0.768,,0.097,31,4.3,0.0008,
7034,POL J PATHOL,1233-9687,233,0.49,,0.111,45,7.2,0.00034,
7035,POL J VET SCI,1505-1773,372,0.57,0.597,0.043,116,4,0.00085,0.119
7036,POL MARIT RES,1233-2585,55,0.324,0.182,0,33,,0.0001,0.024
7037,POL POLAR RES,0138-0338,353,0.745,,0.423,26,7.8,0.0006,
7038,POLAR BIOL,0722-4060,4311,2.006,1.912,0.439,180,8,0.00892,0.603
7039,POLAR REC,0032-2474,352,0.981,0.846,0.263,38,>10.0,0.0007,0.292
