Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact factor,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
7268,IMAGING SCI J,1368-2199,122,0.315,0.427,0.102,59,4.5,0.00032,0.102
7269,J DENT SCI,1991-7902,101,0.465,0.427,0.111,63,2.9,0.00038,0.117
7270,SAINS MALAYS,0126-6039,361,0.48,0.427,0.012,242,2.8,0.00082,0.064
7271,MEMBR WATER TREAT,2005-8624,26,0.436,0.426,0,20,,0.00011,0.11
7272,IRAN RED CRESCENT ME,2074-1804,225,0.504,0.426,0.045,154,2.7,0.00063,0.077
7273,ANN COMB,0218-0006,307,0.455,0.425,0.075,40,9.3,0.00159,0.526
7274,POL J CHEM TECHNOL,1509-8117,174,0.474,0.425,0.062,80,4,0.00041,0.094
7275,AN SIST SANIT NAVAR,1137-6627,271,0.557,0.425,0.469,49,5.6,0.0003,0.062
7276,ANN SCI,0003-3790,243,0.395,0.424,0.04,25,>10.0,0.00077,0.499
7277,LITH J PHYS,1648-8504,176,0.456,0.424,0.222,27,4.7,0.00061,0.158
7278,SENSOR MATER,0914-4935,219,0.461,0.424,0.123,65,7.9,0.00031,0.094
7279,ADV GEOM,1615-715X,183,0.314,0.423,0.167,42,6.1,0.00192,0.586
7280,CHEMIJA,0235-7216,124,0.357,0.423,0.049,41,5,0.00026,0.094
7281,BIOPHARM INT,1542-166X,260,0.264,0.422,0.042,72,5.4,0.0006,0.1
7282,PETROL SCI TECHNOL,1091-6466,910,0.33,0.421,0.08,289,6,0.00181,0.106
7283,ACTA ALIMENT HUNG,0139-3006,306,0.427,0.421,0.058,86,7.3,0.00042,0.093
7284,ACTA BOT MEX,0187-7151,246,0.629,0.421,0.074,27,>10.0,0.00023,0.097
7285,LITH MATH J,0363-1672,170,0.4,0.42,0.088,34,6.1,0.00097,0.3
7286,SOC HIST MED,0951-631X,271,0.4,0.42,0.029,34,>10.0,0.00096,0.338
7287,FORSCH INGENIEURWES,0015-7899,167,0.138,0.419,0,11,>10.0,0.0002,0.131
7288,REV ECOL-TERRE VIE,0249-7395,332,0.275,0.419,0.25,8,>10.0,0.00032,0.114
7289,J GROUP THEORY,1433-5883,310,0.346,0.419,0.064,47,6.8,0.00312,0.63
7290,RIV ITAL SOSTANZE GR,0035-6808,213,0.396,0.419,0.125,24,>10.0,0.00019,0.089
7291,MED KLIN-INTENSIVMED,2193-6218,37,0.418,0.418,0.08,75,,0.00007,0.065
7292,PACHYDERM,1026-2881,130,0.667,0.418,0,10,9.7,0.00036,0.239
7293,PEDIATR ANN,0090-4481,482,0.288,0.417,0.099,81,8.7,0.00087,0.135
7294,NEMATROPICA,0099-5444,273,0.3,0.417,0,38,>10.0,0.00026,0.108
7295,RUSS J NUMER ANAL M,0927-6467,128,0.377,0.417,0.032,31,5.3,0.00051,0.173
7296,ULUS TRAVMA ACIL CER,1306-696X,336,0.379,0.417,0.027,113,4.2,0.00086,0.098
7297,ARCH LEBENSMITTELHYG,0003-925X,150,0.386,0.417,,,7.7,0.00038,0.152
7298,SPECTROSCOPY-US,0887-6703,351,0.556,0.417,0.19,84,7.5,0.00053,0.101
7299,J PLANT DIS PROTECT,1861-3829,308,0.611,0.417,0.08,25,6.6,0.0007,0.136
7300,ALGEBR UNIV,0002-5240,489,0.551,0.416,0.106,47,>10.0,0.00175,0.359
7301,CYTOLOGIA,0011-4545,860,0.242,0.415,0.025,40,>10.0,0.00042,0.084
7302,GEOL ORE DEPOSIT+,1075-7015,372,0.389,0.415,0.113,53,8.8,0.00092,0.173
7303,MATH COMMUN,1331-0623,162,0.3,0.414,0.051,39,5.2,0.00073,0.198
7304,REV MED CHILE,0034-9887,1181,0.373,0.414,0.054,202,7.5,0.00133,0.075
7305,MATER TEHNOL,1580-2949,188,0.555,0.414,0.029,137,2.4,0.0005,0.082
7306,BRAZ J PHARM SCI,1984-8250,287,0.302,0.412,0,98,4.7,0.00056,0.079
7307,ROM BIOTECH LETT,1224-5984,301,0.351,0.412,0.073,109,3.5,0.00086,0.08
7308,CHINESE J STRUC CHEM,0254-5861,903,0.477,0.412,0.11,273,4.2,0.00097,0.042
7309,CEM WAPNO BETON,1425-8129,109,0.426,0.411,0.184,38,3.3,0.00021,0.066
7310,B MATH SOC SCI MATH,1220-3874,149,0.452,0.411,0.075,40,6.6,0.00076,0.287
7311,WULFENIA,1561-882X,25,0.294,0.41,0.143,7,,0.00003,0.052
7312,NEW REV HYPERMEDIA M,1361-4568,70,0.296,0.41,0.067,15,,0.00019,0.182
7313,GESUNDE PFLANZ,0367-4223,83,0.333,0.41,0,17,,0.00016,0.119
7314,ARAB J SCI ENG,1319-8025,494,0.367,0.41,0.083,324,4.6,0.00143,0.126
7315,INT J OIL GAS COAL T,1753-3309,44,0.429,0.41,0.026,39,,0.00025,0.141
7316,ANN POL MATH,0066-2216,420,0.437,0.41,0.232,56,>10.0,0.0015,0.292
7317,AIRCR ENG AEROSP TEC,1748-8842,212,0.48,0.41,0.188,48,7.3,0.00042,0.122
7318,LITHOL MINER RESOUR+,0024-4902,348,0.431,0.409,0.185,27,>10.0,0.00049,0.158
7319,LUTS,1757-5664,57,0.543,0.409,0.033,30,,0.00028,0.123
7320,CHINESE PHYS C,1674-1137,738,0.819,0.409,0.392,237,2.1,0.00448,0.173
7321,GAYANA,0717-6538,291,0.267,0.408,0,17,9.5,0.00024,0.121
7322,CHEM PROCESS ENG-INZ,0208-6425,198,0.467,0.408,0.05,40,5.2,0.00042,0.091
7323,FIBER INTEGRATED OPT,0146-8030,217,0.403,0.407,0.136,22,8.5,0.00029,0.1
7324,SPE PROD OPER,1930-1855,146,0.44,0.407,0,36,4.6,0.00096,0.226
7325,J NANOELECTRON OPTOE,1555-130X,226,0.369,0.406,0.32,100,3.3,0.00074,0.12
7326,SAMPE J,0091-1062,210,0.267,0.405,0.278,18,>10.0,0.00014,0.11
7327,COMMUN STAT-THEOR M,0361-0926,2036,0.284,0.405,0.067,297,>10.0,0.00601,0.259
7328,P I CIVIL ENG-TRANSP,0965-092X,147,0.321,0.405,1.029,35,4.9,0.00039,0.191
7329,PROPAG ORNAM PLANTS,1311-9109,125,0.351,0.405,0.038,26,5.3,0.00021,0.074
7330,CLIN EXP OBSTET GYN,0390-6663,523,0.357,0.405,0.072,83,7.6,0.00098,0.118
7331,HIST PHILOS LOGIC,0144-5340,82,0.4,0.405,0.053,19,,0.00033,0.235
7332,IRAN J CHEM CHEM ENG,1021-9986,215,0.189,0.404,0.023,43,5.4,0.00039,0.077
7333,ACTA MATH APPL SIN-E,0168-9673,498,0.385,0.404,0.027,73,9.5,0.00125,0.226
7334,GERIATR PSYCHOL NEUR,2115-8789,46,0.404,0.404,0.085,47,,0.00018,0.101
7335,AUST ORTHOD J,0587-3908,143,0.269,0.403,,,8.7,0.00041,0.189
7336,BIOL SPORT,0860-021X,212,0.527,0.403,0.042,48,7.8,0.00023,0.067
7337,NOTES REC ROY SOC,0035-9149,148,0.356,0.402,0.043,23,>10.0,0.0004,0.214
7338,ACTA PAUL ENFERM,0103-2100,379,0.267,0.401,0.056,90,4.5,0.00066,0.059
7339,SOUTHWEST ENTOMOL,0147-1724,363,0.407,0.401,0.038,26,>10.0,0.00064,0.15
7340,J KOREAN PHYS SOC,0374-4884,3378,0.425,0.401,0.076,855,5.4,0.0085,0.111
7341,POLYM POLYM COMPOS,0967-3911,380,0.255,0.4,0.013,78,6.5,0.00058,0.082
7342,J FIRE PROT ENG,1042-3915,120,0.259,0.4,0.167,12,>10.0,0.00027,0.252
7343,INT J FOUND COMPUT S,0129-0541,375,0.326,0.4,0,74,6.5,0.00211,0.298
7344,CHINA FOUNDRY,1672-6421,146,0.341,0.4,0.017,59,3.7,0.00033,0.068
7345,BRITTONIA,0007-196X,717,0.371,0.4,0.091,44,>10.0,0.00056,0.139
7346,J OIL PALM RES,1511-2780,184,0.177,0.399,0.175,40,8.4,0.00016,0.058
7347,MATER SCI-MEDZG,1392-1320,165,0.336,0.399,0.039,77,3.8,0.00044,0.077
7348,B BELG MATH SOC-SIM,1370-1444,356,0.357,0.399,0.076,66,6.9,0.00198,0.357
7349,J ZHEJIANG U-SCI C,1869-1951,132,0.38,0.399,0.157,89,2.5,0.00051,0.103
7350,INT J APPL RES VET M,1542-2666,200,0.287,0.398,,,7.2,0.00031,0.103
7351,SURF REV LETT,0218-625X,666,0.367,0.398,0.071,70,>10.0,0.00068,0.091
7352,ACTA INFORM,0001-5903,468,0.405,0.398,0,17,>10.0,0.00064,0.353
7353,OXID COMMUN,0209-4541,409,0.507,0.398,0.304,125,5.3,0.00023,0.028
7354,CHEM UNSERER ZEIT,0009-2851,208,0.364,0.397,0.055,55,>10.0,0.00018,0.07
7355,ACTA GEOD GEOPHYS,2213-5812,119,0.394,0.397,0.086,35,4.6,0.00042,0.135
7356,ANN ANIM SCI,1642-3402,159,0.419,0.397,0.099,71,4.5,0.0003,0.074
7357,ASIA PAC J OPER RES,0217-5959,252,0.22,0.396,0.017,60,6.9,0.00059,0.157
7358,W INDIAN MED J,0043-3144,610,0.28,0.396,0.598,107,5.8,0.00093,0.086
7359,DOKL PHYS,1028-3358,551,0.473,0.396,0.116,129,5.8,0.00219,0.19
7360,PCI J,0887-9672,507,0.473,0.396,0.103,29,>10.0,0.00045,0.193
7361,UROLOGE,0340-2592,647,0.436,0.395,0.099,162,5.5,0.0009,0.063
7362,CANDOLLEA,0373-2967,281,0.44,0.395,0.065,31,>10.0,0.00021,0.077
7363,WATER RESOUR+,0097-8078,442,0.368,0.394,0.055,73,8.5,0.00071,0.11
7364,DOKL PHYS CHEM,0012-5016,340,0.475,0.394,0.141,71,7.2,0.00061,0.114
7365,J THERM SCI TECH-JPN,1880-5566,103,0.495,0.394,0.051,39,3,0.00046,0.123
7366,CARBONATE EVAPORITE,0891-2556,190,0.308,0.393,0.067,45,>10.0,0.0002,0.105
7367,GEOMECH ENG,2005-307X,34,0.35,0.393,0.03,33,,0.00023,0.162
7368,PAK J STAT,1012-9367,147,0.336,0.392,0.024,85,4.5,0.00054,0.131
7369,J SOC LEATH TECH CH,0144-0322,283,0.414,0.392,0.056,36,9.3,0.0002,0.064
7370,J MATH MUSIC,1745-9737,39,0.571,0.392,1.2,10,,0.00014,0.163
7371,J KOREAN ACAD NURS,2005-3673,363,0.359,0.391,0.049,81,5.7,0.00049,0.062
7372,J ENG THERMOPHYS-RUS,1810-2328,84,0.522,0.391,0.233,30,,0.00041,0.151
7373,ARCH ARGENT PEDIATR,0325-0075,262,0.291,0.39,0.149,101,4.4,0.0006,0.084
7374,KODAI MATH J,0386-5991,265,0.347,0.39,0.047,43,>10.0,0.00092,0.344
7375,THEOR FOUND CHEM EN+,0040-5795,520,0.376,0.39,0.071,113,6.7,0.00061,0.061
7376,RUSS J ECOL+,1067-4136,517,0.386,0.39,0.025,79,8,0.00082,0.116
7377,YAKUGAKU ZASSHI,0031-6903,1521,0.31,0.389,0.07,158,>10.0,0.00154,0.086
7378,CERNE,0104-7760,330,0.36,0.389,0,80,7.3,0.00062,0.118
7379,IEEE ANN HIST COMPUT,1058-6180,140,0.524,0.389,0,23,>10.0,0.00037,0.207
7380,REV MED MICROBIOL,0954-139X,161,0.517,0.388,0.056,18,>10.0,0.00014,0.125
7381,PHYTON-INT J EXP BOT,1851-5657,187,0.257,0.387,0,40,>10.0,0.00023,0.092
7382,NAUTILUS,0028-1344,319,0.279,0.387,0.105,19,>10.0,0.00024,0.12
7383,J AEROS COMP INF COM,1940-3151,114,0.281,0.387,,0,7.2,0.00034,0.165
7384,INT J OFFSHORE POLAR,1053-5381,306,0.303,0.387,0.116,43,9.9,0.00058,0.159
7385,ARCH MATH LOGIC,1432-0665,262,0.324,0.387,0.104,48,8.2,0.00203,0.506
7386,J INF SCI ENG,1016-2364,435,0.333,0.387,0.11,73,5.9,0.00115,0.124
7387,KSII T INTERNET INF,1976-7277,191,0.345,0.387,0.059,186,2.3,0.00072,0.094
7388,PAK J ZOOL,0030-9923,501,0.4,0.387,0.114,245,4,0.00062,0.052
7389,ASTROPHYSICS+,0571-7256,380,0.556,0.387,0.362,47,>10.0,0.00052,0.115
7390,MADERA BOSQUES,1405-0471,99,0.067,0.386,0.056,18,,0.00011,0.077
7391,ABH MATH SEM HAMBURG,0025-5858,392,0.222,0.386,0.077,13,>10.0,0.00075,0.643
7392,IND LUBR TRIBOL,0036-8792,213,0.316,0.386,0.093,54,7.4,0.00037,0.104
7393,T INDIAN I METALS,0972-2815,357,0.427,0.386,0.063,95,4.7,0.00109,0.127
7394,J BRAZ SOC MECH SCI,1678-5878,293,0.239,0.385,0.02,50,7.6,0.00056,0.115
7395,BALT FOR,1392-1355,117,0.304,0.385,0.03,33,5.8,0.00021,0.081
7396,CAN MATH BULL,0008-4395,849,0.325,0.385,0.099,91,>10.0,0.00299,0.495
7397,B EXP BIOL MED+,0007-4888,1776,0.366,0.385,0.046,395,6.8,0.00191,0.059
7398,INT J IND ENG-THEORY,1943-670X,169,0.165,0.383,0,49,7.4,0.00022,0.073
7399,J PLAST SURG HAND SU,2000-656X,88,0.521,0.383,0.059,119,,0.00037,0.107
7400,J MECH,1727-7191,240,0.314,0.382,0.093,75,5.8,0.00066,0.129
7401,REV BRAS ORNITOL,0103-5657,215,0.358,0.382,0.139,36,5.9,0.00047,0.102
7402,BOT SCI,2007-4298,15,0.382,0.382,0.024,42,,0.00004,0.077
7403,J ELECTRON TEST,0923-8174,215,0.429,0.382,0.016,64,6.5,0.00073,0.175
7404,INT J GERONTOL,1873-9598,97,0.473,0.382,0.02,49,,0.00032,0.084
7405,AVIAN CONSERV ECOL,1712-6568,36,0.25,0.381,0,22,,0.00013,0.121
7406,INTEGR FERROELECTR,1058-4587,783,0.371,0.381,0.011,190,7.9,0.00154,0.114
7407,MED LAV,0025-7818,271,0.482,0.381,0.075,40,7.8,0.00031,0.076
7408,ETHIK MED,0935-7335,83,0.538,0.381,0.2,25,,0.00011,0.07
7409,TETSU TO HAGANE,0021-1575,1413,0.422,0.38,0.134,97,>10.0,0.00136,0.16
7410,MLJEKARSTVO,0026-704X,96,0.484,0.38,0.2,25,,0.00018,0.066
7411,B VET I PULAWY,0042-4870,455,0.365,0.379,0.029,103,5.4,0.00083,0.075
7412,OPTOELECTRON ADV MAT,1842-6573,631,0.449,0.378,0.085,212,3.3,0.00181,0.071
7413,VLAAMS DIERGEN TIJDS,0303-9021,140,0.23,0.377,0.057,35,5.7,0.00031,0.092
7414,JCPSP-J COLL PHYSICI,1022-386X,746,0.318,0.377,0.051,237,5.6,0.00167,0.095
7415,KYBERNETES,0368-492X,480,0.416,0.377,0.083,96,6,0.00086,0.084
7416,LC GC EUR,1471-6577,317,0.655,0.377,0.438,64,5.2,0.00065,0.098
7417,NEUROCHIRURGIE,0028-3770,610,0.466,0.375,0,44,>10.0,0.00075,0.116
7418,ZEMDIRBYSTE,1392-3196,150,0.523,0.375,0.036,56,3.7,0.0003,0.057
7419,IEICE ELECTRON EXPR,1349-2543,600,0.391,0.373,0.065,262,3.6,0.00261,0.118
7420,DIFF EQUAT+,0012-2661,1845,0.416,0.373,0.109,174,>10.0,0.00258,0.169
7421,INT J UNCONV COMPUT,1548-7199,67,0.433,0.373,0.091,22,,0.00032,0.143
7422,INT J SURF SCI ENG,1749-785X,74,0.448,0.373,0,22,,0.00026,0.094
7423,INTERCIENCIA,0378-1844,754,0.248,0.372,0.042,118,8.1,0.00106,0.095
7424,COSMIC RES+,0010-9525,399,0.348,0.372,0.118,51,>10.0,0.00074,0.149
7425,WIEN TIERARZTL MONAT,0043-535X,263,0.367,0.372,0.677,31,>10.0,0.00023,0.072
7426,RADIOLOGE,0033-832X,540,0.414,0.372,0.108,93,9.1,0.00068,0.085
7427,SPORTVERLETZ SPORTSC,0932-0555,151,0.283,0.371,0.091,22,>10.0,0.00018,0.09
7428,REV FITOTEC MEX,0187-7380,207,0.295,0.371,0.044,45,6.6,0.00021,0.055
7429,CAH AGRIC,1166-7699,256,0.39,0.371,0.383,60,5.7,0.00051,0.102
7430,GRAPH COMBINATOR,0911-0119,445,0.331,0.37,0.058,155,>10.0,0.00247,0.458
7431,MATER PLAST,0025-5289,197,0.463,0.37,0.141,71,3.8,0.00029,0.044
7432,J ENVIRON PROT ECOL,1311-5065,475,0.338,0.369,0.037,163,4.1,0.00024,0.016
7433,HIROSHIMA MATH J,0018-2079,265,0.342,0.369,0.118,17,>10.0,0.00068,0.396
7434,POWDER METALL MET C+,1068-1302,619,0.202,0.368,0.045,89,>10.0,0.0006,0.077
7435,CHIR MAIN,1297-3203,371,0.251,0.368,0.036,83,7.3,0.00063,0.094
7436,IRAN J FISH SCI,1562-2916,118,0.32,0.368,0.03,66,3.4,0.00029,0.076
7437,ARCH TIERZUCHT,0003-9438,373,0.326,0.368,0.32,25,7.4,0.00055,0.089
7438,MECHANIKA,1392-1207,218,0.336,0.368,0.048,105,3.7,0.00055,0.073
7439,J THERM SCI,1003-2169,302,0.348,0.368,0.093,86,6.5,0.00075,0.126
7440,DES AUTOM EMBED SYST,0929-5585,77,0.242,0.367,,,,0.00015,0.113
7441,PERIOD MATH HUNG,0031-5303,277,0.379,0.367,0.079,38,>10.0,0.00093,0.378
7442,NIGER J CLIN PRACT,1119-3077,255,0.414,0.367,0.087,115,3.7,0.00093,0.108
7443,APPITA J,1038-6807,451,0.273,0.366,0.125,32,>10.0,0.00034,0.077
7444,DOKL CHEM,0012-5008,336,0.351,0.366,0.119,67,6.2,0.00069,0.097
7445,FOOD HYG SAFE SCI,0015-6426,99,0.442,0.366,0.083,60,,0.0002,0.059
7446,PROG RUBBER PLAST RE,1477-7606,72,0.357,0.365,0,17,,0.00008,0.064
7447,SLOV VET RES,1580-4003,55,0.314,0.364,0.045,22,,0.00015,0.102
7448,RAIRO-OPER RES,0399-0559,172,0.333,0.364,0,20,>10.0,0.00042,0.226
7449,NUKLEONIKA,0029-5922,292,0.357,0.364,0.041,97,6.8,0.00082,0.136
7450,J HIST ASTRON,0021-8286,177,0.39,0.364,0.13,23,>10.0,0.00078,0.424
7451,COMPEL,0332-1649,460,0.44,0.364,0.069,144,5.6,0.00133,0.121
7452,ARQ BRAS MED VET ZOO,0102-0935,985,0.198,0.363,0.023,259,6.5,0.00206,0.104
7453,P ENTOMOL SOC WASH,0013-8797,984,0.479,0.363,0.258,31,>10.0,0.00062,0.128
7454,MALAWI MED J,1995-7262,78,0.191,0.362,0.04,25,,0.00026,0.121
7455,T JPN SOC AERONAUT S,0549-3811,131,0.315,0.362,0.022,45,5.5,0.00051,0.156
7456,DOKL BIOCHEM BIOPHYS,1607-6729,238,0.368,0.362,0.023,86,5.1,0.00058,0.082
7457,POLYM-KOREA,0379-153X,325,0.433,0.362,0.071,112,4.8,0.00024,0.028
7458,IRAN J PEDIATR,2008-2142,194,0.344,0.361,0.195,113,3.4,0.00049,0.077
7459,P INDIAN AS-MATH SCI,0253-4142,286,0.38,0.361,0,48,10,0.00113,0.267
7460,HYDROL WASSERBEWIRTS,1439-1783,63,0.629,0.361,0.368,19,,0.00023,0.111
7461,DRUG FUTURE,0377-8282,341,0.253,0.36,0.018,112,6.5,0.00067,0.092
7462,PMM-J APPL MATH MEC+,0021-8928,1380,0.307,0.36,0.09,67,>10.0,0.00159,0.226
7463,J WATER CHEM TECHNO+,1063-455X,159,0.347,0.359,0.149,47,4.9,0.00027,0.063
7464,AUST PRESCR,0312-8008,129,0.381,0.359,,,7.3,0.00025,0.099
7465,INT J MOD PHYS B,0217-9792,2748,0.455,0.359,0.413,310,8,0.00522,0.125
7466,ANN BIOL CLIN-PARIS,0003-3898,452,0.415,0.358,0.031,97,8.9,0.00052,0.073
7467,PFLEGE,1012-5302,93,0.468,0.358,0.107,28,,0.00012,0.054
7468,MATH INTELL,0343-6993,339,0.32,0.357,0.147,34,>10.0,0.00081,0.433
7469,J MIN SCI+,1062-7391,401,0.404,0.357,0.135,96,7.4,0.0004,0.052
7470,PRZEM CHEM,0033-2496,751,0.367,0.356,0.101,387,3.8,0.00073,0.033
7471,ENTOMOL NEWS,0013-872X,584,0.442,0.356,0.053,38,>10.0,0.00063,0.144
7472,QUAEST MATH,1607-3606,226,0.451,0.356,0.179,39,>10.0,0.00086,0.289
7473,TIERAERZTL PRAX,0303-6286,516,0.47,0.356,0.116,95,9.8,0.0006,0.072
7474,J INFRARED MILLIM W,1001-9014,373,0.342,0.355,0.029,104,5.8,0.00048,0.053
7475,NEUROL ASIA,1823-6138,136,0.244,0.354,0.024,82,5.2,0.00035,0.088
7476,GEORGIAN MATH J,1072-947X,272,0.34,0.354,0.111,45,8.4,0.0011,0.266
7477,J IRON STEEL RES INT,1006-706X,783,0.357,0.354,0.031,192,4.4,0.00258,0.105
7478,J CELL AUTOM,1557-5969,57,0.235,0.353,0.107,28,,0.00032,0.159
7479,STUD CONSERV,0039-3630,587,0.173,0.352,0.172,29,>10.0,0.00027,0.113
7480,REV UNION MAT ARGENT,0041-6932,79,0.268,0.352,0,17,,0.00065,0.36
7481,RUSS METEOROL HYDRO+,1068-3739,415,0.282,0.352,0.045,111,6.2,0.00066,0.071
7482,INT SURG,0020-8868,677,0.248,0.35,0.049,82,>10.0,0.00051,0.094
7483,ANIM CELLS SYST,1976-8354,88,0.35,0.35,0.056,54,,0.0003,0.074
7484,REND SEMIN MAT U PAD,0041-8994,299,0.265,0.349,0,25,>10.0,0.00087,0.415
7485,FOOD TECHNOL-CHICAGO,0015-6639,1984,0.289,0.349,0.017,59,>10.0,0.00043,0.1
7486,PHYS WAVE PHENOM,1541-308X,84,0.301,0.349,0.125,48,,0.0003,0.095
7487,UTILITAS MATHEMATICA,0315-3681,366,0.316,0.349,0.022,91,9.4,0.00146,0.226
7488,J CIRCUIT SYST COMP,0218-1266,315,0.33,0.349,0.049,123,5.2,0.00057,0.071
7489,INT J METALCAST,1939-5981,42,0.366,0.349,0.1,20,,0.00015,0.085
7490,ADV STEEL CONSTR,1816-112X,63,0.22,0.348,0.16,25,,0.00042,0.185
7491,IJST-T ELECTR ENG,2228-6179,8,0.348,0.348,0,7,,0,0.011
7492,INSTRUM EXP TECH+,0020-4412,693,0.349,0.348,0.081,136,7.7,0.0016,0.127
7493,BALTICA,0067-3064,76,0.193,0.347,0,20,,0.00019,0.121
7494,IEICE T ELECTRON,0916-8524,1123,0.389,0.347,0.083,229,7.1,0.00254,0.112
7495,APPL GEOPHYS,1672-7975,245,0.232,0.345,0.021,48,>10.0,0.00041,0.107
7496,EUR J TRAUMA EMERG S,1863-9933,211,0.38,0.345,0.221,77,3.7,0.00062,0.086
7497,INT J MATER PROD TEC,0268-1900,302,0.282,0.344,0,39,7.2,0.00066,0.103
7498,ROM J INF SCI TECH,1453-8245,86,0.453,0.344,0,15,,0.00024,0.095
7499,GAYANA BOT,0717-6643,178,0.258,0.343,0,36,>10.0,0.00024,0.079
7500,ARCH PEDIATRIE,0929-693X,1360,0.41,0.343,0.08,213,6.9,0.00202,0.073
7501,J MATH PHYS ANAL GEO,1812-9471,54,0.432,0.343,0.067,30,,0.00053,0.291
7502,THERMOPHYS AEROMECH+,0869-8643,194,0.295,0.342,0.025,81,5,0.00083,0.159
7503,EKSPLOAT NIEZAWODN,1507-2711,98,0.505,0.342,0.141,71,,0.00016,0.042
7504,DISS MATH,0012-3862,50,0.571,0.342,0,8,,0.00033,0.523
7505,LAT AM APPL RES,0327-0793,251,0.2,0.341,0.032,31,7.6,0.00044,0.097
7506,ACTA ZOOL BULGAR,0324-0770,211,0.357,0.341,0.087,69,5.8,0.00043,0.084
7507,J RESIDUALS SCI TECH,1544-8053,85,0.435,0.341,0.08,25,,0.00018,0.087
7508,J NEPAL MED ASSOC,0028-2715,132,0.174,0.34,0,68,4.9,0.00044,0.09
7509,MET SCI HEAT TREAT+,0026-0673,664,0.362,0.339,0.032,126,>10.0,0.00079,0.092
7510,INF CONSTR,0020-0883,140,0.254,0.338,0,60,6.2,0.00031,0.093
7511,J WEB ENG,1540-9589,64,0.444,0.338,0.105,19,,0.0002,0.158
7512,MAIN GROUP MET CHEM,0792-1241,272,0.511,0.338,0.323,31,>10.0,0.0001,0.044
7513,GLAS MAT,0017-095X,215,0.247,0.337,0.1,30,>10.0,0.00099,0.356
7514,MIL OPER RES,0275-5823,69,0.312,0.337,,,,0.00027,0.19
7515,PHILIPP AGRIC SCI,0031-7454,163,0.368,0.336,0.05,40,9.3,0.00024,0.067
7516,REV MEX FIS,0035-001X,526,0.328,0.335,0.051,136,6.5,0.00093,0.088
7517,LAT AM J PHARM,0326-2383,444,0.319,0.334,0.064,251,3.3,0.00093,0.05
7518,APPL MATH-CZECH,0862-7940,240,0.147,0.333,0.061,33,9.8,0.00061,0.243
7519,IRAN J VET RES,1728-1997,151,0.217,0.332,0.047,43,5,0.00032,0.067
7520,MATH LOGIC QUART,0942-5616,240,0.22,0.332,0,37,7,0.0016,0.353
7521,KAFKAS UNIV VET FAK,1300-6045,370,0.287,0.332,0.091,220,3.4,0.00063,0.043
7522,COMPUT INFORM,1335-9150,154,0.319,0.331,0.067,60,4.1,0.00065,0.124
7523,FREQUENZ,0016-1136,175,0.34,0.331,0.089,56,5.9,0.00049,0.114
7524,J LOW FREQ NOISE V A,0263-0923,108,0.263,0.33,0,26,9.2,0.00015,0.087
7525,KOREAN J ORTHOD,2234-7518,111,0.37,0.328,0.028,36,5,0.00038,0.115
7526,CALDASIA,0366-5232,208,0.203,0.327,0.065,31,>10.0,0.00028,0.108
7527,CLIN TER,0009-9074,299,0.329,0.326,0.02,150,5.5,0.00055,0.068
7528,AKTUEL UROL,0001-7868,118,0.28,0.325,0.029,35,5.1,0.00026,0.079
7529,REV BRAS MED ESPORTE,1517-8692,420,0.16,0.324,0,89,7.6,0.00035,0.05
7530,J HOMOTOPY RELAT STR,2193-8407,40,0.238,0.324,0,12,,0.0007,0.593
7531,INDIAN J GEO-MAR SCI,0379-5136,60,0.313,0.324,0.008,131,,0.00026,0.085
7532,J TEST EVAL,0090-3973,617,0.279,0.323,0.066,121,>10.0,0.00103,0.114
7533,CASTANEA,0008-7475,310,0.288,0.323,0,25,>10.0,0.00024,0.091
7534,ACOUST AUST,0814-6039,48,0.364,0.322,0.094,32,,0.00013,0.092
7535,INLAND WATER BIOL,1995-0829,95,0.208,0.321,0.02,51,,0.0004,0.085
7536,RUSS J DEV BIOL+,1062-3604,190,0.216,0.321,0.026,39,7.5,0.0003,0.084
7537,AATCC REV,1532-8813,215,0.254,0.321,0.034,29,8.9,0.0002,0.065
7538,WOOD RES-SLOVAKIA,1336-4561,117,0.281,0.321,0.062,65,4.2,0.00026,0.057
7539,BANGL J PLANT TAXON,1028-2092,63,0.367,0.321,0.056,18,,0.00008,0.045
7540,J INTERNET TECHNOL,1607-9264,215,0.418,0.321,0.202,109,3.1,0.00047,0.063
7541,NOTFALL RETTUNGSMED,1434-6222,234,0.319,0.32,0.123,73,4.6,0.0003,0.043
7542,J HARD TISSUE BIOL,1341-7649,88,0.275,0.319,0,73,,0.00014,0.044
7543,ARCH HIST EXACT SCI,0003-9519,223,0.324,0.319,0.059,17,>10.0,0.00053,0.347
7544,HIST REC AUST SCI,0727-3061,34,0.333,0.318,0.333,3,,0.00002,0.06
7545,IDEGGYOGY SZEMLE,0019-1442,133,0.343,0.317,0.216,37,4.4,0.00017,0.044
7546,RUSS J PAC GEOL,1819-7140,99,0.35,0.317,0.054,37,,0.00023,0.06
7547,MED PR,0465-5893,255,0.318,0.316,0.068,74,7.8,0.00017,0.033
7548,IEEJ T ELECTR ELECTR,1931-4973,245,0.327,0.316,0.077,104,3.9,0.00099,0.103
7549,MATH REP,1582-3067,86,0.086,0.315,0,46,,0.00041,0.168
